Year,NTDID,Agency,Mode,TOS,City,State,UZA Number,UZA Name,Reporter Type,Directional Route Miles,Transit Way Miles,Unlinked Passenger Trips,Passenger Miles Traveled,Vehicle & Pass. Car Revenue Miles,Train Revenue Miles,Vehicle Revenue Hours,Vehicle Operated in Maximum Service,    with Motor Vehicle,    with Person,    with Fixed Object,    with Rail Vehicle,    with Bus Vehicle,    with Other,    Collision Total,    Derailment Total,    Fire Total,Security Total,    NOC Total,    Event Total,    Passenger,People waiting or leaving,    Operator,    Employee,    Total Employee,    Other Worker,    Bicyclist,    Ped In Crossing,    Ped Not In Crossing,    Ped Crossing Tracks,    Ped Walking Along Tracks,    Other Vehicle Occupant,    Other,    Trespasser,    Suicide,    Total Other,    Total Fatalities,    Passenger,People waiting or leaving,    Operator,    Employee,    Total Employee,    Other Worker,    Bicyclist,    Ped In Crossing,    Ped Not In Crossing,    Ped Crossing Tracks,    Ped Walking Along Tracks,    Other Vehicle Occupant,    Other,    Trespasser,    Suicide,    Total Other,    Total Injuries
2012,20075,Port Authority Transit Corporation,HR,DO,Lindenwold,NJ,5,"Philadelphia, PA-NJ-DE-MD",Full Reporter: Operating,31.5,38.4,10612897,93957960,4405451,979499,141785,84,0,0,0,0,0,0,0,0,8,0,47,55,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,6,33,0,0,0,0,0,0,0,0,0,3,7,,0,10,49
2012,20099,"Staten Island Rapid Transit Operating Authority, dba: MTA Staten Island Railway",HR,DO,Staten Island,NY,1,"New York-Newark, NY-NJ-CT",Full Reporter: Operating,28.6,31.7,6467898,37666887,2392233,628777,111582,46,0,2,0,0,0,0,2,0,5,10,12,29,0,1,0,0,0,0,0,0,0,0,0,0,0,,1,1,2,1,15,1,1,2,0,0,0,0,0,0,0,0,,1,1,19
2012,30019,Southeastern Pennsylvania Transportation Authority,HR,DO,Philadelphia,PA,5,"Philadelphia, PA-NJ-DE-MD",Full Reporter: Operating,74.9,99.8,102796169,456868171,16962968,3264973,870896,285,0,3,0,1,0,0,4,1,0,53,13,71,0,0,0,0,0,0,0,0,0,0,1,0,0,,1,2,2,20,40,5,4,9,0,0,0,0,0,0,0,0,,0,0,69
2012,30030,Washington Metropolitan Area Transit Authority,HR,DO,Washington,DC,8,"Washington, DC-VA-MD",Full Reporter: Operating,211.8,269.8,285306675,1584631040,70867572,11164012,2883528,868,0,1,0,0,0,0,1,3,22,66,300,392,0,1,0,0,0,0,0,0,0,0,0,0,0,,6,6,7,29,283,8,22,30,0,0,0,0,0,0,0,15,,7,22,364
2012,30034,Maryland Transit Administration,HR,DO,Baltimore,MD,19,"Baltimore, MD",Full Reporter: Operating,29.4,34.0,15199117,77435638,4627288,1086118,189996,54,0,2,0,0,0,0,2,0,0,7,20,29,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,1,1,3,27,0,0,0,0,0,0,0,0,0,0,0,,0,0,30
2012,30080,Arlington Transit - Arlington County,HR,PT,Arlington,VA,8,"Washington, DC-VA-MD",,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
2012,40022,Metropolitan Atlanta Rapid Transit Authority,HR,DO,Atlanta,GA,11,"Atlanta, GA",Full Reporter: Operating,96.1,103.7,72711487,463168559,17661018,3092345,674278,182,0,1,0,0,0,0,1,0,18,16,161,196,0,0,0,0,0,0,0,0,0,1,0,0,0,,2,3,3,15,150,0,4,4,0,0,0,0,0,0,0,2,,4,6,175
2012,40034,Miami-Dade Transit,HR,DO,Miami,FL,5,"Miami, FL",Full Reporter: Operating,49.8,58.3,18706102,139721133,6819311,1273885,288095,76,0,1,0,0,0,1,2,0,1,2,83,88,0,1,0,1,1,0,0,0,0,0,0,0,0,,1,1,3,4,79,0,0,0,0,0,0,0,0,0,0,0,,0,0,83
2012,40094,Alternativa de Transporte Integrado -ATI,HR,PT,San Juan,PR,500,"San Juan, PR",Full Reporter: Operating,20.6,25.5,10909438,52205597,1911697,595262,103228,32,0,0,0,0,0,0,0,0,0,1,14,15,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,2,12,0,0,0,0,0,0,0,0,0,0,0,,1,1,15
2012,50015,The Greater Cleveland Regional Transit Authority,HR,DO,Cleveland,OH,25,"Cleveland, OH",Full Reporter: Operating,38.1,41.9,6240495,43551128,1989328,998534,102597,20,0,0,0,0,0,0,0,0,3,2,17,22,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,2,13,0,0,0,0,0,0,0,0,0,0,1,,0,1,16
